,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
28,Under Siege 2: Dark Territory,1995,100,5.5,52,"47,791",$50.02M,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",Geoff Murphy,"['Steven Seagal', 'Eric Bogosian', 'Everett McGill', 'Katherine Heigl']"
29,Hostel: Part II,2007,94,5.5,46,"91,836",$17.61M,Three American college students studying abroad are lured to a Slovakian hostel and discover the grim reality behind it.,Eli Roth,"['Lauren German', 'Heather Matarazzo', 'Bijou Phillips', 'Roger Bart']"
30,The House Bunny,2008,97,5.5,55,"85,297",$48.24M,"After Playboy bunny Shelley is kicked out of the Playboy Mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf,"['Anna Faris', 'Colin Hanks', 'Emma Stone', 'Kat Dennings']"
31,Scary Movie 3,2003,84,5.5,49,"1,49,860",$110.00M,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",David Zucker,"['Anna Faris', 'Charlie Sheen', 'Regina Hall', 'Pamela Anderson']"
32,Volcano,1997,104,5.5,55,"78,003",$49.32M,A volcano erupts in downtown Los Angeles and a city official and a seismologist try to stop its inevitable flow through the city.,Mick Jackson,"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann', 'Don Cheadle']"
33,Ghost Ship,2002,91,5.5,28,"1,02,772",$30.11M,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",Steve Beck,"['Julianna Margulies', 'Gabriel Byrne', 'Ron Eldard', 'Desmond Harrington']"
34,"Dude, Where's My Car?",2000,83,5.5,30,"1,41,513",$46.73M,Two potheads wake up after a night of partying and cannot remember where they parked their car.,Danny Leiner,"['Ashton Kutcher', 'Seann William Scott', 'Jennifer Garner', 'Marla Sokoloff']"
35,The Day the Earth Stood Still,2008,104,5.5,40,"1,72,409",$79.37M,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,Scott Derrickson,"['Keanu Reeves', 'Jennifer Connelly', 'Kathy Bates', 'Jaden Smith']"
36,Seventh Son,I 2014,102,5.5,30,"78,245",$17.22M,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Sergei Bodrov,"['Ben Barnes', 'Julianne Moore', 'Jeff Bridges', 'Alicia Vikander']"
37,Employee of the Month,2006,103,5.5,36,"48,593",$28.44M,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work, in order to gain the affections of a new female employee.",Greg Coolidge,"['Jessica Simpson', 'Dane Cook', 'Dax Shepard', 'Andy Dick']"
38,Resident Evil: The Final Chapter,2016,107,5.5,49,"95,844",$26.83M,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W.S. Anderson,"['Milla Jovovich', 'Iain Glen', 'Ali Larter', 'Shawn Roberts']"
39,Snakes on a Plane,2006,105,5.5,58,"1,40,818",$34.02M,"An FBI agent takes on a plane full of deadly venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis,"['Samuel L. Jackson', 'Julianna Margulies', 'Nathan Phillips', 'Rachel Blanchard']"
40,Busanhaeng 2: Bando,2020,116,5.5,51,"34,005",$1.23M,"A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",Sang-ho Yeon,"['Dong-won Gang', 'Lee Jung-hyun', 'Re Lee', 'Hae-hyo Kwon']"
41,Beverly Hills Cop III,1994,104,5.5,16,"83,161",$42.61M,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles.",John Landis,"['Eddie Murphy', 'Jon Tenney', 'Joey Travolta', 'Eugene Collier']"
42,Bride of Chucky,1998,89,5.5,48,"60,344",$32.40M,"Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.",Ronny Yu,"['Jennifer Tilly', 'Brad Dourif', 'Katherine Heigl', 'Nick Stabile']"
43,Big Fat Liar,2002,88,5.5,36,"37,978",$48.36M,"Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash hit movie, no one believes Jason's latest tall tale.",Shawn Levy,"['Frankie Muniz', 'Amanda Bynes', 'Paul Giamatti', 'Amanda Detmer']"
44,The Bounty Hunter,I 2010,110,5.5,22,"1,29,511",$67.06M,"A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.",Andy Tennant,"['Jennifer Aniston', 'Gerard Butler', 'Gio Perez', 'Joel Marsh Garland']"
45,Dreamcatcher,2003,136,5.5,35,"93,739",$33.72M,Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.,Lawrence Kasdan,"['Morgan Freeman', 'Thomas Jane', 'Jason Lee', 'Damian Lewis']"
46,Pompeii,I 2014,105,5.5,39,"1,12,713",$23.22M,"A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.",Paul W.S. Anderson,"['Kit Harington', 'Emily Browning', 'Kiefer Sutherland', 'Adewale Akinnuoye-Agbaje']"
47,Cheaper by the Dozen 2,2005,94,5.5,34,"60,034",$82.57M,The Bakers find themselves competing with a rival family of eight children while on vacation.,Adam Shankman,"['Steve Martin', 'Bonnie Hunt', 'Hilary Duff', 'Eugene Levy']"
48,Star Trek V: The Final Frontier,1989,107,5.5,43,"61,270",$52.21M,Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,William Shatner,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']"
49,Sweet Girl,2021,110,5.5,46,"32,712",*****,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,Brian Andrew Mendoza,"['Jason Momoa', 'Isabela Merced', 'Manuel Garcia-Rulfo', 'Adria Arjona']"
0,Lara Croft Tomb Raider: The Cradle of Life,2003,117,5.5,43,"1,40,135",$65.66M,"Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.",Jan de Bont,"['Angelina Jolie', 'Gerard Butler', 'Chris Barrie', 'Ciarán Hinds']"
1,Saw 3D,2010,90,5.5,24,"1,00,499",$45.71M,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",Kevin Greutert,"['Tobin Bell', 'Costas Mandylor', 'Betsy Russell', 'Cary Elwes']"
2,Little Fockers,2010,98,5.5,27,"1,14,522",$148.38M,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",Paul Weitz,"['Ben Stiller', 'Teri Polo', 'Robert De Niro', 'Owen Wilson']"
3,Virtuosity,1995,106,5.5,39,"30,777",$24.05M,"When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror.",Brett Leonard,"['Denzel Washington', 'Russell Crowe', 'Kelly Lynch', 'Stephen Spinella']"
4,Collateral Damage,2002,108,5.5,33,"75,920",$40.08M,"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",Andrew Davis,"['Arnold Schwarzenegger', 'John Leguizamo', 'Francesca Neri', 'Elias Koteas']"
5,High-Rise,2015,119,5.5,65,"43,297",$0.34M,Life for the residents of a tower block begins to run out of control.,Ben Wheatley,"['Tom Hiddleston', 'Jeremy Irons', 'Sienna Miller', 'Luke Evans']"
6,Eight Legged Freaks,2002,99,5.5,53,"58,187",$17.32M,Venomous spiders get exposed to a noxious chemical that causes them to grow to monumental proportions.,Ellory Elkayem,"['David Arquette', 'Kari Wuhrer', 'Scott Terra', 'Scarlett Johansson']"
7,Mortdecai,2015,107,5.5,27,"74,059",$7.61M,"Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",David Koepp,"['Johnny Depp', 'Gwyneth Paltrow', 'Ewan McGregor', 'Olivia Munn']"
8,All the Boys Love Mandy Lane,2006,90,5.5,44,"33,702",*****,"A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",Jonathan Levine,"['Amber Heard', 'Anson Mount', 'Whitney Able', 'Michael Welch']"
9,Rumor Has It...,2005,97,5.5,35,"59,344",$43.00M,"Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.",Rob Reiner,"['Jennifer Aniston', 'Mark Ruffalo', 'Shirley MacLaine', 'Kevin Costner']"
10,Gretel & Hansel,2020,87,5.5,64,"31,657",$15.35M,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",Oz Perkins,"['Sophia Lillis', 'Samuel Leakey', 'Alice Krige', 'Jessica De Gouw']"
11,Monster-in-Law,2005,101,5.5,31,"62,795",$82.93M,"The love life of Charlotte is reduced to an endless string of disastrous blind dates, until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship.",Robert Luketic,"['Jennifer Lopez', 'Michael Vartan', 'Jane Fonda', 'Wanda Sykes']"
12,The Benchwarmers,2006,85,5.5,25,"52,070",$59.84M,A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.,Dennis Dugan,"['David Spade', 'Jon Heder', 'Rob Schneider', 'Jon Lovitz']"
13,House at the End of the Street,2012,101,5.5,31,"77,986",$31.61M,"After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident.",Mark Tonderai,"['Jennifer Lawrence', 'Elisabeth Shue', 'Max Thieriot', 'Gil Bellows']"
14,Hellraiser III: Hell on Earth,1992,97,5.5,50,"32,627",$12.53M,An investigative reporter must send the newly unbound Pinhead and his legions back to Hell.,Anthony Hickox,"['Terry Farrell', 'Doug Bradley', 'Kevin Bernhardt', 'Lawrence Mortorff']"
15,The Lizzie McGuire Movie,2003,94,5.5,56,"40,297",$42.73M,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",Jim Fall,"['Hilary Duff', 'Adam Lamberg', 'Clayton Snyder', 'Hallie Todd']"
16,The Ward,2010,89,5.5,38,"43,296",*****,An institutionalized young woman becomes terrorized by a ghost.,John Carpenter,"['Amber Heard', 'Mamie Gummer', 'Danielle Panabaker', 'Laura-Leigh']"
17,Beastly,2011,86,5.5,40,"78,329",$27.87M,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",Daniel Barnz,"['Alex Pettyfer', 'Vanessa Hudgens', 'Mary-Kate Olsen', 'Justin Bradley']"
18,The Omen,2006,110,5.5,43,"60,149",$54.61M,An American official realizes that his young son may literally be the Devil incarnate.,John Moore,"['Liev Schreiber', 'Julia Stiles', 'Seamus Davey-Fitzpatrick', 'David Thewlis']"
19,Babylon A.D.,2008,90,5.5,26,"96,615",$22.53M,Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,Mathieu Kassovitz,"['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry', 'Gérard Depardieu']"
20,When in Rome,2010,91,5.5,25,"63,060",$32.67M,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",Mark Steven Johnson,"['Kristen Bell', 'Josh Duhamel', 'Anjelica Huston', 'Danny DeVito']"
21,White Noise,I 2005,101,5.5,30,"49,595",$56.39M,An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.,Geoffrey Sax,"['Michael Keaton', 'Deborah Kara Unger', 'Ian McNeice', 'Chandra West']"
22,Raw Deal,1986,106,5.5,44,"35,236",$16.21M,A former FBI agent turned small-town sheriff agrees to help the FBI chief infiltrate the Chicago mafia when the FBI chief's son is killed by them.,John Irvin,"['Arnold Schwarzenegger', 'Kathryn Harrold', 'Sam Wanamaker', 'Paul Shenar']"
23,Forces of Nature,1999,105,5.5,46,"34,762",$52.89M,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.,Bronwen Hughes,"['Sandra Bullock', 'Ben Affleck', 'Maura Tierney', 'Steve Zahn']"
24,Whiteout,2009,101,5.5,^^^^^^,"39,377",$10.28M,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.,Dominic Sena,"['Kate Beckinsale', 'Gabriel Macht', 'Tom Skerritt', 'Columbus Short']"
25,The Innkeepers,2011,101,5.5,64,"35,926",$0.08M,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.",Ti West,"['Sara Paxton', 'Pat Healy', 'Kelly McGillis', 'Alison Bartlett']"
26,Beverly Hills Ninja,1997,88,5.5,27,"42,284",$31.24M,A man tries to rescue a woman with a little help from his half brother.,Dennis Dugan,"['Chris Farley', 'Nicollette Sheridan', 'Robin Shou', 'Nathaniel Parker']"
27,Metro,1997,117,5.5,41,"28,103",$31.99M,A Hostage Negotiator teams up with a Sharpshooter to bring down a dangerous jewel thief.,Thomas Carter,"['Eddie Murphy', 'Michael Rapaport', 'Kim Miyori', 'Art Evans']"
28,Stolen,2012,96,5.5,43,"45,468",$0.30M,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",Simon West,"['Nicolas Cage', 'Malin Akerman', 'Josh Lucas', 'Danny Huston']"
